contrast,energy,homogenity,correlation,out
0.000102506,0.999897497,0.999948747,-4.44E-05,NO-TUMOR
0.003305827,0.997950427,0.999050762,0.799758903,NO-TUMOR
15.2947568,0.996386705,0.996753726,0.926291611,NO-TUMOR
0.003177695,0.9992056,0.999567424,0.68674154,NO-TUMOR
0.669519758,0.994494798,0.997905778,0.980298107,NO-TUMOR
282.6665983,0.938805503,0.943817968,0.932787957,NO-TUMOR
246.9608682,0.944366517,0.950420021,0.934418615,NO-TUMOR
0.048741735,0.980073247,0.990377736,0.613117216,NO-TUMOR
0,1,1,1,NO-TUMOR
85.14150992,0.982471753,0.984600792,0.914023293,NO-TUMOR
0,1,1,1,NO-TUMOR
748.2705909,0.948005036,0.960837175,0.751807628,NO-TUMOR
116.3126954,0.942878147,0.956334707,0.962277283,NO-TUMOR
73.82033212,0.985803204,0.987136563,0.920804304,NO-TUMOR
75.63131054,0.965073974,0.97077678,0.936686049,NO-TUMOR
25.15091487,0.985865184,0.992917049,0.884754526,NO-TUMOR
315.7840705,0.897766571,0.916760195,0.937198405,NO-TUMOR
10.569448,0.979762906,0.986015051,0.612170695,NO-TUMOR
0.048741735,0.980073247,0.990377736,0.613117216,NO-TUMOR
15.15419507,0.979771046,0.986711251,0.893074759,NO-TUMOR
0.769822152,0.988917061,0.99405525,0.142939004,NO-TUMOR
0.007482958,0.991458881,0.998883676,0.994261305,NO-TUMOR
182.2582902,0.96366576,0.968096538,0.890656338,NO-TUMOR
90.67192866,0.962155934,0.970673499,0.938678374,NO-TUMOR
144.5828507,0.978418382,0.98721486,0.617064653,NO-TUMOR
345.9716058,0.979785479,0.986364808,0.593313085,NO-TUMOR
11.42522167,0.980125544,0.986986472,0.247920938,NO-TUMOR
32.64824971,0.977010563,0.991741056,0.852947384,NO-TUMOR
23.93959818,0.976500373,0.987888253,0.871800208,NO-TUMOR
0,1,1,1,NO-TUMOR
42.27581877,0.972502128,0.982326546,0.915769039,NO-TUMOR
72.64576393,0.971433244,0.981651602,0.907171472,NO-TUMOR
0.047972938,0.985319634,0.991321681,0.459679439,NO-TUMOR
0.002152632,0.992653357,0.999200451,0.95229631,NO-TUMOR
0.002152632,0.992653357,0.999200451,0.95229631,NO-TUMOR
0.669519758,0.994494798,0.997905778,0.980298107,NO-TUMOR
524.172108,0.860879651,0.873871034,0.937678267,NO-TUMOR
1.772922967,0.979776399,0.987754241,0.552471761,NO-TUMOR
200.081595,0.94759486,0.95179149,0.94867279,NO-TUMOR
43.38275844,0.99241465,0.993145227,0.931916676,NO-TUMOR
0.000666291,0.996262066,0.99975911,0.971204649,NO-TUMOR
0,1,1,1,NO-TUMOR
0.000461278,0.999538817,0.999769361,-0.000105685,NO-TUMOR
184.6841013,0.979795126,0.988324624,0.586577162,NO-TUMOR
0.061144995,0.995131956,0.996814922,0.628474948,NO-TUMOR
32.17128799,0.997181116,0.997422805,0.829938886,NO-TUMOR
0.031187535,0.996387208,0.997496018,0.775389357,NO-TUMOR
42.27581877,0.972502128,0.982326546,0.915769039,NO-TUMOR
0.003305827,0.997950427,0.999050762,0.799758903,NO-TUMOR
755.3124904,0.844875551,0.88632503,0.94311687,NO-TUMOR
0.020014351,0.979878939,0.994390404,0.485559819,NO-TUMOR
113.1636256,0.97355628,0.978583442,0.952613658,NO-TUMOR
71.5788017,0.974226661,0.983251695,0.85948399,NO-TUMOR
45.37120086,0.977061322,0.986220652,0.838925419,NO-TUMOR
0.793116703,0.979769026,0.986613942,0.606246222,NO-TUMOR
228.5671416,0.954138094,0.96272855,0.89925094,NO-TUMOR
1.586310287,0.979766522,0.986888609,0.585684939,NO-TUMOR
0.084952078,0.981087655,0.991177593,0.371764199,NO-TUMOR
96.86904823,0.985931564,0.986954864,0.891760504,NO-TUMOR
0.063015735,0.983252393,0.99158614,0.641198927,NO-TUMOR
319.9249654,0.920469998,0.951909154,0.945795781,NO-TUMOR
40.47988314,0.972572566,0.981601651,0.918871191,NO-TUMOR
0.047972938,0.985319634,0.991321681,0.459679439,NO-TUMOR
21.72612885,0.977394669,0.987115561,0.905311717,NO-TUMOR
